epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.62,1.187,2.81933,3.17892,1.1102,0.78149,0.06957,0.07737,0.06069,0.72447,0.05678,0.05695,0.04063,1.23078,6.7297,2.74134,1.10055,0.000253047,0.000253047,0.000253047
2,137.304,1.07792,2.35457,1.81276,1.04242,0.71154,0.16408,0.15244,0.09743,0.69142,0.15922,0.13893,0.08325,1.06501,2.56004,1.588,1.06838,0.000504337,0.000504337,0.000504337
3,160.51,1.03439,2.28805,1.60122,1.02322,0.60044,0.20881,0.21618,0.13062,0.58114,0.20196,0.20434,0.11184,1.0458,2.47075,1.66905,1.06573,0.000750553,0.000750553,0.000750553
4,184.811,0.99495,2.2,1.48806,1.01088,0.4287,0.27728,0.2232,0.13222,0.45014,0.23589,0.21081,0.1119,1.02138,2.39869,1.35167,1.04525,0.000746161,0.000746161,0.000746161
5,211.502,0.95982,2.14278,1.41673,1.00216,0.41821,0.27301,0.22999,0.13339,0.439,0.26815,0.22371,0.11423,0.98692,2.34299,1.41892,1.03023,0.000738548,0.000738548,0.000738548
6,238.487,0.95293,2.0986,1.36692,0.9964,0.3189,0.30842,0.2807,0.16889,0.30206,0.30452,0.26895,0.14557,0.97183,2.30369,1.23933,1.01692,0.000730935,0.000730935,0.000730935
7,265.356,0.94533,2.09548,1.29788,0.9968,0.3206,0.31316,0.28243,0.16787,0.30505,0.29283,0.27015,0.14202,0.97346,2.22536,1.24438,1.02311,0.000723321,0.000723321,0.000723321
8,294.047,0.93104,2.05469,1.27529,0.98562,0.43206,0.2743,0.28494,0.16844,0.4205,0.26524,0.26103,0.13943,0.96703,2.31823,1.22767,1.01739,0.000715708,0.000715708,0.000715708
9,323.413,0.91764,2.03041,1.22829,0.98415,0.39913,0.33959,0.28849,0.18158,0.37989,0.32815,0.27636,0.15358,0.92101,2.32697,1.29437,0.99323,0.000708095,0.000708095,0.000708095
10,351.762,0.90154,1.98491,1.20846,0.97246,0.43343,0.32335,0.29723,0.17998,0.40704,0.31682,0.28672,0.15635,0.94456,2.26397,1.18608,1.00917,0.000700482,0.000700482,0.000700482
11,379.326,0.92305,2.0227,1.18476,0.97967,0.44604,0.3638,0.32084,0.19575,0.44271,0.3502,0.30396,0.16864,0.94532,2.21455,1.18222,1.00562,0.000692869,0.000692869,0.000692869
12,404.768,0.89935,1.96456,1.15934,0.97117,0.43353,0.32059,0.31564,0.1957,0.40396,0.32024,0.29584,0.16834,0.90674,2.26561,1.25397,1.00235,0.000685256,0.000685256,0.000685256
13,429.758,0.89548,1.95222,1.16134,0.97176,0.53885,0.34555,0.30456,0.19365,0.52704,0.3278,0.28709,0.16572,0.91438,2.30777,1.24259,0.99056,0.000677643,0.000677643,0.000677643
14,457.361,0.89386,1.94312,1.13093,0.96673,0.53071,0.356,0.3376,0.21141,0.52664,0.35163,0.3302,0.18751,0.94139,2.17489,1.13089,1.00792,0.00067003,0.00067003,0.00067003
15,485.443,0.88291,1.91131,1.10759,0.965,0.51323,0.37673,0.3385,0.21647,0.52072,0.37701,0.33606,0.19367,0.90871,2.15958,1.10787,0.99974,0.000662417,0.000662417,0.000662417
16,515.54,0.89166,1.92417,1.10823,0.97283,0.45094,0.35496,0.33507,0.20918,0.44303,0.34143,0.33849,0.18495,0.9472,2.16707,1.13182,1.00383,0.000654804,0.000654804,0.000654804
17,548.66,0.87318,1.87319,1.09009,0.96626,0.62926,0.35034,0.35463,0.22134,0.57544,0.33408,0.33352,0.18886,0.93246,2.19872,1.10516,0.99948,0.00064719,0.00064719,0.00064719
18,581.809,0.8897,1.90023,1.07854,0.97154,0.57021,0.38046,0.36716,0.22843,0.55851,0.38098,0.37109,0.20599,0.9145,2.12927,1.12111,0.99344,0.000639577,0.000639577,0.000639577
19,610.379,0.8679,1.869,1.0763,0.96779,0.54789,0.41209,0.38025,0.2287,0.52754,0.38798,0.36527,0.20195,0.94789,2.14637,1.14505,1.00995,0.000631964,0.000631964,0.000631964
20,638.013,0.88194,1.89699,1.04708,0.96633,0.58133,0.35857,0.34312,0.20679,0.58872,0.31619,0.3255,0.17736,0.92174,2.12398,1.1309,0.9988,0.000624351,0.000624351,0.000624351
