epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.145,1.18686,2.80711,3.17857,1.11052,0.76737,0.07698,0.0834,0.0646,0.7628,0.07213,0.07258,0.05221,1.24356,5.85804,2.67137,1.0815,0.000253047,0.000253047,0.000253047
2,327.988,1.08001,2.35649,1.81442,1.04347,0.70863,0.18868,0.15805,0.10149,0.70422,0.18694,0.14719,0.08602,1.05589,2.55224,1.62984,1.0645,0.000504337,0.000504337,0.000504337
3,363.191,1.03176,2.28804,1.59809,1.02191,0.58145,0.21093,0.21055,0.12526,0.55898,0.20683,0.19718,0.1074,1.07039,2.47919,1.68159,1.0768,0.000750553,0.000750553,0.000750553
4,398.579,0.99079,2.18873,1.48315,1.00941,0.36309,0.25683,0.23376,0.14171,0.3716,0.26544,0.22911,0.11975,1.00839,2.39665,1.35591,1.04018,0.000746161,0.000746161,0.000746161
5,433.574,0.95849,2.14257,1.40815,1.00032,0.38345,0.29209,0.23667,0.14092,0.42133,0.28954,0.23171,0.11514,1.00469,2.33532,1.38023,1.03066,0.000738548,0.000738548,0.000738548
6,468.571,0.95505,2.10118,1.36241,0.99512,0.3816,0.28567,0.28664,0.17317,0.32297,0.28118,0.27023,0.14604,1.00546,2.31174,1.24694,1.02525,0.000730935,0.000730935,0.000730935
7,504.398,0.94479,2.0899,1.29203,0.99639,0.39363,0.32443,0.26937,0.1582,0.40233,0.32488,0.27309,0.13628,0.96468,2.23447,1.25954,1.0209,0.000723321,0.000723321,0.000723321
8,541.057,0.93083,2.04949,1.28488,0.98493,0.42879,0.28952,0.28034,0.16819,0.44406,0.28456,0.26309,0.13766,0.94771,2.41888,1.25174,1.01573,0.000715708,0.000715708,0.000715708
9,576.836,0.92158,2.03104,1.23041,0.9843,0.48795,0.33542,0.33247,0.20137,0.43813,0.33577,0.3135,0.16838,0.94995,2.28643,1.20452,1.01081,0.000708095,0.000708095,0.000708095
10,614.11,0.90226,1.9876,1.20055,0.97322,0.41335,0.32885,0.3108,0.19529,0.43207,0.30985,0.30235,0.16834,0.94011,2.26688,1.16401,1.00699,0.000700482,0.000700482,0.000700482
11,651.048,0.92148,2.01527,1.17535,0.97728,0.51993,0.3157,0.33113,0.20224,0.50342,0.30907,0.3165,0.17202,0.93253,2.2155,1.1949,1.00091,0.000692869,0.000692869,0.000692869
12,688.763,0.89992,1.96204,1.16458,0.97003,0.44539,0.31763,0.31375,0.18938,0.41073,0.29698,0.28976,0.16503,0.90362,2.29095,1.39199,1.0038,0.000685256,0.000685256,0.000685256
13,724.748,0.89456,1.95181,1.16524,0.971,0.44514,0.34818,0.3263,0.19791,0.43113,0.33331,0.30743,0.17201,0.93259,2.2579,1.18611,1.00062,0.000677643,0.000677643,0.000677643
14,760.6,0.89782,1.93764,1.13653,0.96727,0.55573,0.33284,0.3279,0.20397,0.57967,0.32293,0.31761,0.18288,0.9329,2.20219,1.13523,1.01025,0.00067003,0.00067003,0.00067003
15,794.48,0.88111,1.90556,1.09873,0.96433,0.50274,0.3691,0.33272,0.21322,0.51074,0.36533,0.32484,0.18603,0.89984,2.16609,1.0949,0.99411,0.000662417,0.000662417,0.000662417
16,819.573,0.88728,1.91796,1.10127,0.97256,0.44482,0.36812,0.34713,0.21284,0.45173,0.35196,0.32964,0.18355,0.94447,2.17279,1.1351,1.01342,0.000654804,0.000654804,0.000654804
17,843.914,0.86716,1.87238,1.08151,0.96459,0.54882,0.33242,0.32807,0.20697,0.53867,0.3218,0.3255,0.18338,0.92995,2.19059,1.09686,1.00216,0.00064719,0.00064719,0.00064719
18,868.107,0.88705,1.90098,1.08079,0.96958,0.63517,0.37745,0.36426,0.22703,0.62726,0.36603,0.36112,0.20147,0.92143,2.1623,1.10997,0.99563,0.000639577,0.000639577,0.000639577
19,892.468,0.87435,1.87044,1.07782,0.96969,0.57394,0.37082,0.37584,0.22278,0.57977,0.34202,0.36506,0.20378,0.94135,2.1433,1.09912,1.00639,0.000631964,0.000631964,0.000631964
20,916.965,0.88157,1.90073,1.04281,0.96527,0.55128,0.38123,0.35968,0.22831,0.53725,0.36029,0.3537,0.20099,0.91383,2.1456,1.09042,0.997,0.000624351,0.000624351,0.000624351
21,941.518,0.86991,1.85891,1.02735,0.96222,0.57794,0.36994,0.3639,0.22353,0.56434,0.34173,0.34952,0.19074,0.90972,2.15322,1.10282,1.00192,0.000616738,0.000616738,0.000616738
22,967.742,0.84518,1.8274,1.00208,0.95754,0.55033,0.37227,0.34771,0.2131,0.52879,0.358,0.33722,0.19209,0.90364,2.23183,1.12969,0.99405,0.000609125,0.000609125,0.000609125
23,994.807,0.85824,1.84233,1.02996,0.96201,0.55579,0.38547,0.37513,0.22866,0.53564,0.3747,0.35669,0.1981,0.91275,2.15876,1.07637,0.99617,0.000601512,0.000601512,0.000601512
24,1022.28,0.86536,1.83277,1.00635,0.9578,0.61052,0.34642,0.36947,0.22553,0.60162,0.34247,0.35371,0.19886,0.91313,2.13974,1.09898,0.99604,0.000593899,0.000593899,0.000593899
25,1048.49,0.85936,1.82115,1.00097,0.95241,0.54514,0.38572,0.38342,0.21991,0.54872,0.37742,0.37086,0.19627,0.90177,2.15257,1.1012,0.99353,0.000586286,0.000586286,0.000586286
